ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
130.4672172377,18.76774515477,660981173204019840,1.192,0.29,-40.887,0.295,-12.209,0.202,0.0275,0,0.969,18.860489, 1.970964,NOT_AVAILABLE,0,530.1451,0.82
130.39854373084,18.74299626142,660981349298550272,5.3902,0.0691,-36.279,0.073,-11.944,0.054,0.0196,0,1.048,15.955235, 2.579134,NOT_AVAILABLE,0,,1.0
130.37063501159,18.75963789923,660981619879849728,5.1727,0.2567,-36.567,0.275,-12.273,0.176,0.0254,0,1.022,18.375006, 3.246801,NOT_AVAILABLE,0,214.9093,1.0
130.61871180964,18.71491835216,660982620608939904,3.4263,0.0193,-24.183,0.021,-26.903,0.014,0.0172,0,1.013,13.855375, 1.227722,NOT_AVAILABLE,0,279.5661,0.68
130.5916222531,18.76822127028,660983750184396672,5.5584,0.1634,-37.067,0.175,-12.372,0.117,0.0089,0,0.98,18.139982, 3.228664,NOT_AVAILABLE,0,233.8407,1.0
130.5426934738,18.76669676239,660983891919259776,5.7472,0.1263,-36.614,0.133,-12.459,0.09,0.00849,0,1.018,17.764292, 3.076593,NOT_AVAILABLE,0,,1.0
130.70682728524,18.85968520431,660986297100929792,5.4429,0.0362,-37.415,0.039,-12.477,0.027,0.00937,0,1.333,15.108388, 2.253980,NOT_AVAILABLE,0,181.1221,1.0
130.68834735934,18.86001300481,660986331460669312,5.3307,0.0392,-36.301,0.04,-12.506,0.029,0.0156,1,2.129,10.613258, 0.871742,NOT_AVAILABLE,0,179.4637,1.0
130.45119593843,18.83074888742,660988186886478464,8.929,0.0519,-18.346,0.054,-36.867,0.036,0.019,0,2.998,12.605827, 1.935179,NOT_AVAILABLE,0,114.4485,1.0
130.45653517148,18.84012336053,660988216949739904,4.2848,0.3609,-28.676,0.381,-11.879,0.264,0.0185,0,0.992,19.169939, 3.443039,NOT_AVAILABLE,0,,0.98
130.45505567774,18.84066623179,660988216950701952,4.6147,1.1867,-29.956,1.181,-49.044,0.802,0.048,0,1.072,20.590899, 2.853527,NOT_AVAILABLE,0,,0.9
130.64542385767,18.92933260919,660989973592859264,5.2289,0.0886,-36.897,0.095,-12.042,0.062,0.0179,0,1.075,17.154099, 2.927745,NOT_AVAILABLE,0,208.7724,1.0
130.53866737555,18.93025060426,660990484692472448,5.3596,0.3495,-36.738,0.367,-12.473,0.252,0.019,0,0.992,19.251184, 2.899446,NOT_AVAILABLE,0,,1.0
130.54487025337,18.93432907557,660990592068154752,4.1744,0.1297,-33.983,0.13,-11.065,0.086,0.0366,0,3.589, 7.870046, 0.277310,NOT_AVAILABLE,0,249.1064,1.0
130.295591137,18.76706618291,660992168319656704,2.149,0.3833,-41.207,0.386,-18.258,0.297,0.024,0,0.962,19.150528, 2.363840,NOT_AVAILABLE,0,,0.98
130.22174651345,18.7482549812,660992344414836992,5.4131,0.1519,-36.377,0.148,-12.77,0.1,0.0495,0,1.031,17.742325, 3.129707,NOT_AVAILABLE,0,195.6692,1.0
