ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,prob
119.09160772272,-60.94271972385,5290713445918199168,2.5315,0.0267,-4.912,0.032,9.95,0.033,0.0162,0,2.707,13.073175, 1.026788,VARIABLE     ,0,0.7
119.11969336399,-60.94286838915,5290713475977840256,2.4773,0.09,-4.54,0.106,11.001,0.114,0.0101,0,1.095,17.793766, 2.903154,NOT_AVAILABLE,0,0.7
119.10620725207,-60.94045138952,5290713548997414528,1.5438,0.0234,-1.014,0.028,9.946,0.027,0.00742,0,0.955,15.467805, 1.308585,NOT_AVAILABLE,0,0.76
119.12550578162,-60.91882993982,5290713583357154432,1.5754,0.0575,-8.263,0.073,8.737,0.062,0.0101,0,1.024,17.038101, 1.999344,NOT_AVAILABLE,0,0.72
119.15118202449,-60.91536115025,5290713583357155968,2.4344,0.1062,-4.879,0.131,11.324,0.12,0.011,0,1.094,17.956873, 2.610964,NOT_AVAILABLE,0,0.7
118.77460695796,-61.07481149648,5290713652076611200,2.4398,0.0094,-4.388,0.012,11.493,0.012,0.0116,0,1.047,13.226875, 1.013493,VARIABLE     ,0,0.7
118.74796768157,-61.07296493877,5290713686436348800,2.4852,0.0481,-4.4,0.061,12.451,0.064,0.0104,0,0.978,17.064728, 2.418901,VARIABLE     ,0,0.7
118.75352607479,-61.06263020783,5290713686436349312,2.183,0.044,-4.972,0.055,11.011,0.055,0.00587,16,2.431,15.002773, 1.475307,NOT_AVAILABLE,0,0.7
118.87866537884,-61.02975530353,5290714201832430336,0.9139,0.0749,-7.91,0.093,12.497,0.115,0.00263,0,0.951,17.747278, 1.863342,NOT_AVAILABLE,0,0.58
118.85011168047,-61.02919242508,5290714236192167936,2.4177,0.0234,-3.899,0.029,11.531,0.03,0.0122,1,1.034,15.606757, 1.658214,VARIABLE     ,0,0.7
118.91780233035,-60.9927705561,5290714407990864768,2.8083,0.0282,-6.09,0.034,0.188,0.035,0.00596,0,1.002,15.909268, 2.065174,NOT_AVAILABLE,0,0.7
118.83459844788,-61.00693323337,5290714442352343680,2.0719,0.1137,-4.478,0.139,10.734,0.163,0.0126,5,1.57,17.685282, 2.090849,NOT_AVAILABLE,0,0.7
118.86456176694,-60.98165617536,5290714648508952192,0.6716,0.0352,-11.902,0.044,18.509,0.043,0.0078,0,0.947,16.309277, 1.096456,NOT_AVAILABLE,0,0.5
118.73675591969,-61.01953914205,5290714751588162048,1.6132,0.0491,-14.449,0.064,10.594,0.065,0.00715,0,0.97,17.137636, 2.009365,NOT_AVAILABLE,0,0.64
118.74673723493,-61.01928636143,5290714751588240384,1.6229,0.026,-12.39,0.033,2.611,0.034,0.0105,1,0.979,15.896163, 1.404412,NOT_AVAILABLE,0,0.76
118.77090545652,-60.99183222681,5290714957746593536,2.4066,0.0236,-4.699,0.031,11.48,0.03,0.0156,0,0.974,15.603665, 1.740289,VARIABLE     ,0,0.7
118.67115001802,-60.9989555726,5290715060825806720,1.244,0.0327,-4.019,0.042,12.513,0.044,0.00362,0,0.981,16.32094, 1.418666,NOT_AVAILABLE,0,0.6
118.82676046058,-60.96214657628,5290715365765596800,2.4337,0.0108,-4.679,0.013,11.206,0.013,0.00958,1,1.084,12.471965, 0.879141,VARIABLE     ,0,0.7
118.82502767477,-60.9597171383,5290715370065222784,2.4181,0.0158,-4.625,0.02,10.969,0.019,0.0169,0,0.799,10.710708, 0.404253,NOT_AVAILABLE,0,0.7
118.8541449126,-60.95614602909,5290715473142674304,1.8018,0.0495,2.587,0.06,9.737,0.06,0.0177,0,0.982,16.907183, 1.908131,NOT_AVAILABLE,0,0.54
