ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,NSS,prob
166.88204963095,-60.0028114049,2.2224,0.51,-5.931,0.623,7.566,0.512, 1.79e-01, 35,9.314,16.922651, 1.320766,0,0.76
166.8568308572,-59.98181345039,1.6885,0.1359,-9.275,0.151,2.182,0.129, 3.72e-02, 43,3.379,16.668814, 1.398976,0,0.86
166.96583481649,-59.96197354787,1.656,0.335,-9.841,0.393,2.885,0.323, 1.41e-01, 66,5.438,17.715282, 1.450121,0,0.66
166.87498920152,-59.9691926693,1.5854,0.0636,-4.251,0.075,14.211,0.068, 8.64e-03,  0,1.025,17.222410, 2.173525,0,0.66
166.86764246234,-59.94989835197,2.0441,0.0181,-10.179,0.022,4.808,0.02, 8.29e-03,  0,1.257,14.177314, 1.107408,0,0.84
166.9029570487,-59.95265026265,2.0941,0.0459,-7.289,0.054,16.581,0.047, 6.01e-03,  2,1.366,16.223936, 2.064000,0,0.74
166.80831800118,-60.00160271758,1.3957,0.2046,-9.321,0.238,5.386,0.221, 5.73e-02, 54,9.69,15.291531, 1.066624,0,0.66
166.80722036079,-59.96591406044,2.5087,0.116,-9.554,0.145,5.606,0.124, 1.67e-02,  0,9.729,11.989512, 0.869803,0,0.84
166.78766826503,-59.92253739148,1.6363,0.0151,-12.293,0.018,9.778,0.016, 1.92e-02,  0,0.904,14.150567, 0.956441,0,0.54
167.14661744787,-60.01016657003,3.9703,0.0623,-7.759,0.07,19.241,0.057, 3.99e-03,  0,1.002,17.215944, 2.517492,0,0.74
167.176025007,-60.00041273937,1.7089,0.3631,-8.181,0.397,3.445,0.34, 1.66e-01, 10,4.535,17.682440, 1.276911,0,0.62
167.20870670149,-59.99307028533,1.3843,0.0245,-21.003,0.027,0.721,0.023, 5.02e-03,  0,0.931,15.386970, 1.200698,0,0.5
167.08333592007,-59.97551089844,2.0136,0.0529,-10.685,0.057,5.42,0.051, 1.20e-02,  0,1.119,16.606329, 2.073148,0,0.84
167.04040937738,-59.92281478067,2.906,0.5199,-4.573,0.54,10.78,0.498, 1.28e-01, 39,6.531,17.660576, 1.648342,0,0.84
167.05190795977,-59.90838967998,1.8022,0.0206,-13.385,0.023,6.275,0.021, 9.17e-03,  0,0.972,14.934658, 1.284346,0,0.84
167.06756060537,-59.90368673096,2.0451,0.0333,-10.631,0.038,5.318,0.033, 7.49e-03,  0,0.988,16.001919, 1.686447,0,0.84
167.02300210681,-59.89174690916,1.6704,0.0453,-10.637,0.05,5.098,0.044, 5.18e-03,  0,0.997,16.468506, 1.704733,0,0.84
167.2461576762,-59.92340860593,1.566,0.3683,-6.546,0.385,3.126,0.319, 6.76e-02, 22,4.21,17.843098, 1.542202,0,0.54
167.21765788103,-59.91389178282,1.3549,0.1994,-9.902,0.211,2.364,0.177, 3.31e-02, 11,2.531,17.909842, 1.716354,0,0.68
167.29275810525,-59.86584244779,1.7863,0.0285,-10.511,0.03,11.187,0.027, 1.01e-02,  0,1.327,15.049871, 1.496283,0,0.76
167.21692007337,-59.87963448425,1.8547,0.4417,-9.98,0.474,4.0,0.405, 1.05e-01, 40,15.281,16.142492, 1.187676,0,0.78
167.18034491274,-59.83750536321,1.4325,0.0126,-13.082,0.014,2.519,0.013, 1.21e-02,  0,0.92,13.548645, 0.854541,0,0.96
167.0861984622,-59.88758422914,1.3855,0.0127,-17.47,0.014,2.655,0.013, 1.29e-02,  1,0.817,11.719974, 0.716748,0,0.5
167.08606832572,-59.79198809198,3.1251,0.0663,-22.988,0.079,-8.077,0.07, 8.98e-03,  1,1.178,17.034420, 2.282547,0,0.7
166.97852601686,-59.94286327835,2.221,0.0188,-6.316,0.021,13.518,0.019, 8.79e-03,  0,0.948,14.736769, 1.317476,0,0.84
166.99296331192,-59.87876919804,2.0386,0.0944,-15.407,0.123,8.35,0.094, 1.03e-02,  0,0.992,17.924843, 2.335449,0,0.84
166.97273408508,-59.85850306139,1.4934,0.0474,-16.102,0.059,3.89,0.049, 1.46e-02,  1,1.011,16.648539, 1.657894,0,0.72
