ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
20.97227645277,85.43702891646,573860171080973568,1.1041,0.3738,3.398,0.437,9.784,0.453,0.0239,0,1.063,19.877770, 2.099668,NOT_AVAILABLE,0,,0.7
20.44948315893,85.39793709677,573860407305002624,0.4188,0.1556,2.748,0.18,4.893,0.202,0.0112,0,1.061,18.757738, 1.503958,NOT_AVAILABLE,0,961.0899,0.52
20.80258518902,85.46668167789,573861098793893248,0.2548,0.6146,-0.32,0.734,7.443,0.889,0.0234,1,1.108,20.275827, 2.275454,NOT_AVAILABLE,0,,0.66
20.64006683383,85.48482561244,573861197579053952,0.6121,0.2569,0.139,0.315,4.824,0.332,0.0207,0,0.981,19.424759, 2.300858,NOT_AVAILABLE,0,,0.74
20.2383553808,85.47635837239,573861270593941888,0.563,0.1402,2.101,0.172,5.122,0.185,0.0376,5,1.275,18.166084, 1.284143,NOT_AVAILABLE,0,1122.4841,0.6
20.42362961019,85.48968184898,573861373673154560,1.1946,0.2336,4.366,0.273,6.504,0.292,0.0299,1,1.042,19.129702, 2.337446,NOT_AVAILABLE,0,,0.7
20.18475098451,85.49430520704,573861438097221248,0.3928,0.344,-0.972,0.43,5.042,0.505,0.0372,0,0.976,19.801650, 2.041202,NOT_AVAILABLE,0,,0.68
18.87791763722,85.39630093171,573861889069383936,1.1127,0.0299,2.832,0.032,5.19,0.038,0.00881,0,0.936,15.784980, 1.236707,NOT_AVAILABLE,0,811.6076,0.64
19.08976138168,85.4182257844,573862335745843584,0.2627,0.0641,0.958,0.071,5.329,0.079,0.0101,1,0.979,17.261915, 1.045267,NOT_AVAILABLE,0,1274.5802,0.76
19.14204428014,85.45471875468,573862537614563584,0.6802,0.266,-1.421,0.309,4.247,0.313,0.0142,0,1.073,19.428284, 1.495768,NOT_AVAILABLE,0,,0.5
18.59478009404,85.39587240021,573862610623755904,1.4078,0.1874,1.685,0.217,8.755,0.239,0.0137,0,1.101,18.858337, 2.193779,NOT_AVAILABLE,0,526.0082,0.7
19.57509379282,85.4920636501,573864152516539776,0.8496,0.055,0.986,0.067,7.581,0.067,0.0097,1,1.001,17.090271, 1.346502,NOT_AVAILABLE,0,1244.6664,0.7
19.0491283403,85.50923358753,573864947085938944,0.1865,0.1055,4.037,0.124,9.496,0.131,0.0238,0,1.071,18.223167, 1.089756,NOT_AVAILABLE,0,1455.3452,0.72
21.28509994247,85.47943941299,573866214100568576,0.2492,0.2761,-1.58,0.326,4.679,0.339,0.00672,0,0.992,19.453910, 1.887632,NOT_AVAILABLE,0,,0.5
21.96368761126,85.52561055742,573866630713116032,0.4431,0.0262,-1.465,0.029,7.694,0.03,0.0176,0,1.017,15.579446, 0.991483,NOT_AVAILABLE,0,1616.3083,0.7
