ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,RAJ2000,DEJ2000,prob
133.14723492435,10.49187462074,2.8591,0.0366,-20.596,0.041,10.529,0.03, 8.88e-03,  0,0.977,15.632820, 1.812612,NOT_AVAILABLE,0,133.14732801728, 10.49182782388,0.92
133.0905055456,10.50215976645,1.7974,0.0329,-21.329,0.036,-20.731,0.024, 2.14e-02,  0,0.96,15.263021, 1.272832,NOT_AVAILABLE,0,133.09060195802, 10.50225190283,0.5
133.16181127481,10.52354048817,3.0779,0.1958,-13.177,0.224,-7.115,0.159, 3.00e-02,  0,1.039,18.418251, 2.836836,NOT_AVAILABLE,0,133.16187084317, 10.52357211199,0.54
133.18096353104,10.52922099916,1.1295,0.1001,-24.14,0.117,0.596,0.088, 1.78e-02,  0,0.958,17.565798, 1.834301,NOT_AVAILABLE,0,133.18107265771, 10.52921835078,0.9
132.96096695878,10.45843813636,1.5991,0.0377,-20.785,0.039,-11.012,0.025, 2.44e-02,  0,1.026,15.611419, 1.320188,NOT_AVAILABLE,0,132.96106089927, 10.45848707955,0.66
133.06834373317,10.55871736762,2.1029,0.0851,-35.433,0.093,16.07,0.066, 1.99e-02,  0,0.967,17.276016, 2.570009,NOT_AVAILABLE,0,133.06850392648, 10.55864594420,0.84
133.03412716736,10.59531889,1.5917,0.2457,-20.227,0.259,-12.35,0.19, 1.95e-02,  0,1.036,18.964300, 2.570597,NOT_AVAILABLE,0,133.03421862313, 10.59537377783,0.7
132.67625505899,10.40824327878,2.9016,0.6813,-22.778,0.68,-5.894,0.53, 1.47e-02,  0,1.068,20.284698, 2.392286,NOT_AVAILABLE,0,132.67635798989, 10.40826947457,0.7
132.70517936761,10.48623193569,2.6048,0.0297,-18.823,0.031,-11.405,0.021, 3.28e-02,  0,0.998,15.000402, 1.387813,NOT_AVAILABLE,0,132.70526444528, 10.48628262439,0.78
132.77298403007,10.46348472739,3.7365,0.1957,-13.516,0.201,-12.538,0.143, 2.97e-02,  0,1.01,18.446404, 2.951046,NOT_AVAILABLE,0,132.77304511760, 10.46354045262,0.66
132.81906738858,10.50175392398,1.8089,0.3668,-21.738,0.381,-1.979,0.28, 2.83e-02,  0,1.057,19.519737, 2.316778,NOT_AVAILABLE,0,132.81916564705, 10.50176271763,0.82
132.81867373972,10.54060039346,2.7677,0.2928,-15.873,0.287,-4.61,0.208, 2.16e-02,  0,0.961,19.153759, 2.649618,NOT_AVAILABLE,0,132.81874549807, 10.54062088258,0.84
