ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,prob
56.81861392883,24.74712712405,66797156751286912,7.3213,0.1029,21.144,0.118,-46.171,0.082,0.0259,0,1.511,16.827679, 3.335150,NOT_AVAILABLE,0,1.0
56.43715629392,24.48179159918,66797564771571328,4.2548,0.4269,38.733,0.598,-39.345,0.354,0.00492,0,0.945,19.235500, 3.134575,NOT_AVAILABLE,0,0.98
56.47708455754,24.55430537375,66798496781121792,7.3053,0.0839,20.331,0.095,-46.022,0.063,0.0396,0,0.88, 5.752026,-0.022990,NOT_AVAILABLE,0,1.0
56.47976397387,24.55460405917,66798526845337344,7.3552,0.024,19.533,0.032,-45.551,0.019,0.0377,0,1.291,13.832768, 1.765072,NOT_AVAILABLE,0,1.0
56.34039171856,24.54350590311,66798977817468288,7.3427,0.0726,19.751,0.107,-44.359,0.059,0.0106,0,1.074,16.209143, 2.798407,NOT_AVAILABLE,0,1.0
56.52718924376,24.56722164753,66799763794633856,7.3591,0.0147,19.749,0.02,-46.624,0.012,0.028,0,0.95,12.414279, 1.338882,VARIABLE     ,0,1.0
56.52886446573,24.5626051279,66799768088857856,7.3757,0.0167,19.403,0.024,-46.972,0.014,0.0272,0,1.047,12.692504, 1.446747,VARIABLE     ,0,1.0
56.52358628171,24.61215923226,66800180408292992,7.3426,0.0365,21.318,0.048,-44.541,0.033,0.0222,0,1.098,15.064789, 2.461582,NOT_AVAILABLE,0,1.0
56.52381410189,24.61368335739,66800244832257280,7.3471,0.1031,21.355,0.132,-45.161,0.093,0.0263,0,1.009,17.224361, 3.121238,NOT_AVAILABLE,0,1.0
56.54907922003,24.6221190946,66800592725851776,7.5501,0.0208,21.195,0.027,-44.696,0.018,0.0827,0,1.2,11.405896, 1.054012,NOT_AVAILABLE,0,1.0
56.54130256139,24.67339403987,66801623514684416,7.3756,0.04,20.497,0.05,-47.161,0.03,0.0313,8,1.622,14.265003, 2.383840,NOT_AVAILABLE,0,1.0
56.54154704208,24.6737049354,66801623517294848,7.534,0.1215,16.744,0.578,-43.543,0.319,0.153,0,0.754,16.357914,         ,NOT_AVAILABLE,0,1.0
56.53633699234,24.67572155693,66801623517295104,7.3736,0.0858,20.873,0.103,-45.692,0.066,0.0177,0,0.993,16.680500, 2.995748,NOT_AVAILABLE,0,1.0
56.51242069316,24.68198826539,66801795315987584,6.9174,0.1898,18.971,0.226,-44.088,0.168,0.0849,0,1.253,17.648338, 3.634348,NOT_AVAILABLE,0,1.0
56.31946543928,24.57548111549,66802207632871808,7.6667,0.0378,20.823,0.051,-47.731,0.031,0.0115,0,1.098,15.082205, 2.545967,NOT_AVAILABLE,0,1.0
56.30003774761,24.58598863493,66802276352348416,7.5214,0.0205,20.809,0.033,-44.702,0.018,0.0789,0,1.084,13.399992, 1.704557,VARIABLE     ,0,1.0
56.4174964453,24.62703265921,66802654309459712,7.7717,0.049,17.796,0.063,-43.098,0.035,0.0235,0,2.17, 9.593008, 0.736157,NOT_AVAILABLE,0,1.0
